indicador,periodo,codigo_ine,valor,indice,categoria,no_agregar,texto
48,2015,43001,10367.00,,,,
48,2016,43001,10343.00,,,,
48,2017,43001,10614.00,,,,
48,2018,43001,11678.00,,,,
48,2019,43001,11700.00,,,,
48,2020,43001,11686.00,,,,
48,2021,43001,12673.00,,,,
48,2022,43001,12665.00,,,,
48,2023,43001,14415.00,,,,
48,2015,43002,9729.00,,,,
48,2016,43002,9848,,,,
48,2017,43002,10256,,,,
48,2018,43002,10706,,,,
48,2019,43002,11182,,,,
48,2020,43002,11531.00,,,,
48,2021,43002,12041.00,,,,
48,2022,43002,12484.00,,,,
48,2023,43002,13314.00,,,,
48,2015,43003,12924.00,,,,
48,2016,43003,12878.00,,,,
48,2017,43003,13799.00,,,,
48,2018,43003,14675.00,,,,
48,2019,43003,13870.00,,,,
48,2020,43003,13799.00,,,,
48,2021,43003,13972.00,,,,
48,2022,43003,14858.00,,,,
48,2023,43003,16032.00,,,,
48,2015,43004,8671.00,,,,
48,2016,43004,8956.00,,,,
48,2017,43004,9348.00,,,,
48,2018,43004,9766.00,,,,
48,2019,43004,10231.00,,,,
48,2020,43004,10725.00,,,,
48,2021,43004,11079.00,,,,
48,2022,43004,11618.00,,,,
48,2023,43004,12678.00,,,,
48,2015,43005,11278.00,,,,
48,2016,43005,11583.00,,,,
48,2017,43005,11570.00,,,,
48,2018,43005,12323.00,,,,
48,2019,43005,12611.00,,,,
48,2020,43005,12670.00,,,,
48,2021,43005,13348.00,,,,
48,2022,43005,13811.00,,,,
48,2023,43005,15083.00,,,,
48,2015,43006,9818.00,,,,
48,2016,43006,10214.00,,,,
48,2017,43006,10463.00,,,,
48,2018,43006,10720.00,,,,
48,2019,43006,10661.00,,,,
48,2020,43006,11076.00,,,,
48,2021,43006,12131.00,,,,
48,2022,43006,12705.00,,,,
48,2023,43006,13626.00,,,,
48,2015,43007,10434.00,,,,
48,2016,43007,10724.00,,,,
48,2017,43007,11761.00,,,,
48,2018,43007,12139.00,,,,
48,2019,43007,12119.00,,,,
48,2020,43007,12424.00,,,,
48,2021,43007,13183.00,,,,
48,2022,43007,13848.00,,,,
48,2023,43007,14915.00,,,,
48,2015,43008,9657.00,,,,
48,2016,43008,9492.00,,,,
48,2017,43008,10211.00,,,,
48,2018,43008,10664.00,,,,
48,2019,43008,10938.00,,,,
48,2020,43008,11340.00,,,,
48,2021,43008,11664.00,,,,
48,2022,43008,11989.00,,,,
48,2023,43008,13301.00,,,,
48,2015,43009,10710.00,,,,
48,2016,43009,10849.00,,,,
48,2017,43009,10270.00,,,,
48,2018,43009,11808.00,,,,
48,2019,43009,12619.00,,,,
48,2020,43009,12559.00,,,,
48,2021,43009,13171.00,,,,
48,2022,43009,13604.00,,,,
48,2023,43009,14758.00,,,,
48,2015,43010,11274.00,,,,
48,2016,43010,11022.00,,,,
48,2017,43010,11699.00,,,,
48,2018,43010,12275.00,,,,
48,2019,43010,12104.00,,,,
48,2020,43010,12143.00,,,,
48,2021,43010,12345.00,,,,
48,2022,43010,12668.00,,,,
48,2023,43010,13318.00,,,,
48,2015,43011,14773.00,,,,
48,2016,43011,15600.00,,,,
48,2017,43011,15970.00,,,,
48,2018,43011,16484.00,,,,
48,2019,43011,18079.00,,,,
48,2020,43011,18724.00,,,,
48,2021,43011,18906.00,,,,
48,2022,43011,20157.00,,,,
48,2023,43011,21788.00,,,,
48,2015,43012,14004.00,,,,
48,2016,43012,14506.00,,,,
48,2017,43012,14843.00,,,,
48,2018,43012,15346.00,,,,
48,2019,43012,16263.00,,,,
48,2020,43012,16173.00,,,,
48,2021,43012,16919.00,,,,
48,2022,43012,17972.00,,,,
48,2023,43012,18943.00,,,,
48,2015,43013,9829.00,,,,
48,2016,43013,9698.00,,,,
48,2017,43013,10198.00,,,,
48,2018,43013,10954.00,,,,
48,2019,43013,11638.00,,,,
48,2020,43013,11519.00,,,,
48,2021,43013,12282.00,,,,
48,2022,43013,12900.00,,,,
48,2023,43013,14378.00,,,,
48,2015,43014,9355.00,,,,
48,2016,43014,9646.00,,,,
48,2017,43014,9965.00,,,,
48,2018,43014,10465.00,,,,
48,2019,43014,10820.00,,,,
48,2020,43014,11056.00,,,,
48,2021,43014,11312.00,,,,
48,2022,43014,11804.00,,,,
48,2023,43014,12513.00,,,,
48,2015,43015,16119.00,,,,
48,2016,43015,18796.00,,,,
48,2017,43015,13990.00,,,,
48,2018,43015,13559.00,,,,
48,2019,43015,14310.00,,,,
48,2020,43015,15726.00,,,,
48,2021,43015,16055.00,,,,
48,2022,43015,15530.00,,,,
48,2023,43015,15875.00,,,,
48,2015,43016,9700.00,,,,
48,2016,43016,10159.00,,,,
48,2017,43016,10563.00,,,,
48,2018,43016,11034.00,,,,
48,2019,43016,11348.00,,,,
48,2020,43016,11482.00,,,,
48,2021,43016,12139.00,,,,
48,2022,43016,12493.00,,,,
48,2023,43016,13200.00,,,,
48,2015,43017,15862.00,,,,
48,2016,43017,16066.00,,,,
48,2017,43017,17305.00,,,,
48,2018,43017,17245.00,,,,
48,2019,43017,18391.00,,,,
48,2020,43017,19603.00,,,,
48,2021,43017,20821.00,,,,
48,2022,43017,21796.00,,,,
48,2023,43017,24143.00,,,,
48,2015,43018,9278.00,,,,
48,2016,43018,9551.00,,,,
48,2017,43018,9722.00,,,,
48,2018,43018,10353.00,,,,
48,2019,43018,10729.00,,,,
48,2020,43018,11447.00,,,,
48,2021,43018,12112.00,,,,
48,2022,43018,12609.00,,,,
48,2023,43018,13655.00,,,,
48,2015,43019,14602.00,,,,
48,2016,43019,14327.00,,,,
48,2017,43019,15041.00,,,,
48,2018,43019,15787.00,,,,
48,2019,43019,15565.00,,,,
48,2020,43019,15625.00,,,,
48,2021,43019,16222.00,,,,
48,2022,43019,16458.00,,,,
48,2023,43019,17677.00,,,,
48,2015,43020,11007.00,,,,
48,2016,43020,11398.00,,,,
48,2017,43020,11854.00,,,,
48,2018,43020,12197.00,,,,
48,2019,43020,12815.00,,,,
48,2020,43020,13073.00,,,,
48,2021,43020,13692.00,,,,
48,2022,43020,14273.00,,,,
48,2023,43020,15249.00,,,,
48,2015,43021,11495.00,,,,
48,2016,43021,11550.00,,,,
48,2017,43021,12182.00,,,,
48,2018,43021,12883.00,,,,
48,2019,43021,12980.00,,,,
48,2020,43021,12209.00,,,,
48,2021,43021,13052.00,,,,
48,2022,43021,13949.00,,,,
