indicador,periodo,codigo_ine,valor,indice,categoria,no_agregar,texto
48,2015,43001,10367.00,6.925648782,,,
48,2016,43001,10343.00,6.448017832,,,
48,2017,43001,10614.00,11.84126731,,,
48,2018,43001,11678.00,33.01623945,,,
48,2019,43001,11700.00,33.45406782,,,
48,2020,43001,11686.00,33.17544977,,,
48,2021,43001,12673.00,52.81802261,,,
48,2022,43001,12665.00,52.65881229,,,
48,2023,43001,14415.00,87.4860691,,,
48,2015,43002,9729.00,0,,,
48,2016,43002,9848,0,,,
48,2017,43002,10256,4.716605636,,,
48,2018,43002,10706,13.67218596,,,
48,2019,43002,11182,23.14519981,,,
48,2020,43002,11531.00,30.09074988,,,
48,2021,43002,12041.00,40.24040758,,,
48,2022,43002,12484.00,49.05667887,,,
48,2023,43002,13314.00,65.57474924,,,
48,2015,43003,12924.00,57.8132463,,,
48,2016,43003,12878.00,56.89778698,,,
48,2017,43003,13799.00,75.2268747,,,
48,2018,43003,14675.00,92.66040439,,,
48,2019,43003,13870.00,76.63986626,,,
48,2020,43003,13799.00,75.2268747,,,
48,2021,43003,13972.00,78.6697978,,,
48,2022,43003,14858.00,96.30234039,,,
48,2023,43003,16032.00,100,,,
48,2015,43004,8671.00,0,,,
48,2016,43004,8956.00,0,,,
48,2017,43004,9348.00,0,,,
48,2018,43004,9766.00,0,,,
48,2019,43004,10231.00,4.219073396,,,
48,2020,43004,10725.00,14.05031046,,,
48,2021,43004,11079.00,21.09536698,,,
48,2022,43004,11618.00,31.82216208,,,
48,2023,43004,12678.00,52.91752906,,,
48,2015,43005,11278.00,25.05572361,,,
48,2016,43005,11583.00,31.12561694,,,
48,2017,43005,11570.00,30.86690018,,,
48,2018,43005,12323.00,45.85257125,,,
48,2019,43005,12611.00,51.58414265,,,
48,2020,43005,12670.00,52.75831874,,,
48,2021,43005,13348.00,66.25139309,,,
48,2022,43005,13811.00,75.46569018,,,
48,2023,43005,15083.00,100,,,
48,2015,43006,9818.00,0,,,
48,2016,43006,10214.00,3.880751473,,,
48,2017,43006,10463.00,8.836172584,,,
48,2018,43006,10720.00,13.95080401,,,
48,2019,43006,10661.00,12.77662793,,,
48,2020,43006,11076.00,21.03566311,,,
48,2021,43006,12131.00,42.03152364,,,
48,2022,43006,12705.00,53.45486388,,,
48,2023,43006,13626.00,71.7839516,,,
48,2015,43007,10434.00,8.259035185,,,
48,2016,43007,10724.00,14.03040917,,,
48,2017,43007,11761.00,34.66804649,,,
48,2018,43007,12139.00,42.19073396,,,
48,2019,43007,12119.00,41.79270817,,,
48,2020,43007,12424.00,47.8626015,,,
48,2021,43007,13183.00,62.96768031,,,
48,2022,43007,13848.00,76.20203789,,,
48,2023,43007,14915.00,97.4367139,,,
48,2015,43008,9657.00,0,,,
48,2016,43008,9492.00,0,,,
48,2017,43008,10211.00,3.821047604,,,
48,2018,43008,10664.00,12.83633179,,,
48,2019,43008,10938.00,18.28928515,,,
48,2020,43008,11340.00,26.28960357,,,
48,2021,43008,11664.00,32.7376214,,,
48,2022,43008,11989.00,39.20554052,,,
48,2023,43008,13301.00,65.31603248,,,
48,2015,43009,10710.00,13.75179112,,,
48,2016,43009,10849.00,16.51807037,,,
48,2017,43009,10270.00,4.99522369,,,
48,2018,43009,11808.00,35.6034071,,,
48,2019,43009,12619.00,51.74335297,,,
48,2020,43009,12559.00,50.54927559,,,
48,2021,43009,13171.00,62.72886483,,,
48,2022,43009,13604.00,71.34612323,,,
48,2023,43009,14758.00,94.31221143,,,
48,2015,43010,11274.00,24.97611845,,,
48,2016,43010,11022.00,19.96099347,,,
48,2017,43010,11699.00,33.43416653,,,
48,2018,43010,12275.00,44.89730935,,,
48,2019,43010,12104.00,41.49418882,,,
48,2020,43010,12143.00,42.27033912,,,
48,2021,43010,12345.00,46.29039962,,,
48,2022,43010,12668.00,52.71851616,,,
48,2023,43010,13318.00,65.6543544,,,
48,2015,43011,14773.00,94.61073078,,,
48,2016,43011,15600.00,100,,,
48,2017,43011,15970.00,100,,,
48,2018,43011,16484.00,100,,,
48,2019,43011,18079.00,100,,,
48,2020,43011,18724.00,100,,,
48,2021,43011,18906.00,100,,,
48,2022,43011,20157.00,100,,,
48,2023,43011,21788.00,100,,,
48,2015,43012,14004.00,79.30663907,,,
48,2016,43012,14506.00,89.29708645,,,
48,2017,43012,14843.00,96.00382105,,,
48,2018,43012,15346.00,100,,,
48,2019,43012,16263.00,100,,,
48,2020,43012,16173.00,100,,,
48,2021,43012,16919.00,100,,,
48,2022,43012,17972.00,100,,,
48,2023,43012,18943.00,100,,,
48,2015,43013,9829.00,0,,,
48,2016,43013,9698.00,0,,,
48,2017,43013,10198.00,3.562330839,,,
48,2018,43013,10954.00,18.60770578,,,
48,2019,43013,11638.00,32.22018787,,,
48,2020,43013,11519.00,29.85193441,,,
48,2021,43013,12282.00,45.03661837,,,
48,2022,43013,12900.00,57.33561535,,,
48,2023,43013,14378.00,86.74972138,,,
48,2015,43014,9355.00,0,,,
48,2016,43014,9646.00,0,,,
48,2017,43014,9965.00,0,,,
48,2018,43014,10465.00,8.875975163,,,
48,2019,43014,10820.00,15.94093297,,,
48,2020,43014,11056.00,20.63763732,,,
48,2021,43014,11312.00,25.73236746,,,
48,2022,43014,11804.00,35.52380194,,,
48,2023,43014,12513.00,49.63381627,,,
48,2015,43015,16119.00,100,,,
48,2016,43015,18796.00,100,,,
48,2017,43015,13990.00,79.02802102,,,
48,2018,43015,13559.00,70.4505652,,,
48,2019,43015,14310.00,85.39643369,,,
48,2020,43015,15726.00,100,,,
48,2021,43015,16055.00,100,,,
48,2022,43015,15530.00,100,,,
48,2023,43015,15875.00,100,,,
48,2015,43016,9700.00,0,,,
48,2016,43016,10159.00,2.786180544,,,
48,2017,43016,10563.00,10.82630154,,,
48,2018,43016,11034.00,20.19980895,,,
48,2019,43016,11348.00,26.44881388,,,
48,2020,43016,11482.00,29.11558669,,,
48,2021,43016,12139.00,42.19073396,,,
48,2022,43016,12493.00,49.23579048,,,
48,2023,43016,13200.00,63.30600223,,,
48,2015,43017,15862.00,100,,,
48,2016,43017,16066.00,100,,,
48,2017,43017,17305.00,100,,,
48,2018,43017,17245.00,100,,,
48,2019,43017,18391.00,100,,,
48,2020,43017,19603.00,100,,,
48,2021,43017,20821.00,100,,,
48,2022,43017,21796.00,100,,,
